time,requests
0,37991
1,38133
2,38436
3,38599
4,34630
5,38631
6,39929
7,40863
8,40783
9,39085
10,40804
11,37675
12,37342
13,38995
14,38696
15,35922
16,37495
17,41126
18,39026
19,35994
20,40317
21,29528
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,2866
31,39212
32,41066
33,41429
34,41134
35,40495
36,40863
37,39725
38,39770
39,38530
40,40382
41,39032
42,39545
43,39744
44,40504
45,40386
46,41672
47,41680
48,39249
49,39002
50,40049
51,33665
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,7616
61,40345
62,38579
63,41236
64,39122
65,40637
66,41511
67,40958
68,40802
69,40631
70,41414
71,40563
72,38016
73,41284
74,40678
75,41295
76,40896
77,39688
78,40361
79,37967
80,38919
81,27482
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,12486
91,41068
92,39508
93,40749
94,40552
95,41202
96,40248
97,40669
98,40880
99,40695
100,40778
101,39996
102,40786
103,41572
104,40603
105,41002
106,41648
107,40994
108,40948
109,41157
110,41192
111,11267
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,30714
121,38964
122,39348
123,41263
124,40899
125,39225
126,41006
127,39277
128,38302
129,40382
130,40346
131,39048
132,37639
133,39829
134,40321
135,39631
136,38974
137,38681
138,40830
139,40278
140,39255
141,15788
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,24281
151,41878
152,40905
153,41219
154,40282
155,38743
156,39987
157,38827
158,41075
159,40865
160,39418
161,38584
162,40448
163,40621
164,40716
165,40365
166,40299
167,39850
168,38243
169,40443
170,40077
171,12874
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,15442
181,39112
182,40448
183,40625
184,40300
185,41192
186,41249
187,39333
188,40429
189,40876
190,40714
191,40551
192,39983
193,40476
194,40595
195,39850
196,37476
197,39645
198,39712
199,38487
200,40473
201,23032
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,15076
211,41311
212,38429
213,25184
Makespan
214014193493
Repartition at: 
Checkpoint times raw:
1,0,1670637089465036024,1670637098381645955,8916609931,92800040,0,2320001
2,0,1670637119511386598,1670637128310099457,8798712859,92800040,0,2320001
3,0,1670637149348823587,1670637158164937460,8816113873,92800040,0,2320001
4,0,1670637178959421082,1670637187725001430,8765580348,92800040,0,2320001
5,0,1670637209083730005,1670637217884305542,8800575537,92800040,0,2320001
6,0,1670637239050942597,1670637248051161809,9000219212,92800040,0,2320001
7,0,1670637269240510892,1670637278138074328,8897563436,92800040,0,2320001
Checkpoint times:
partition,avg-elapsed-time
0,8856482170

Checkpoint sizes:
partition,avg-size
0,8869739319

Crossborder requests executed:
num_partitions,num_requests
1,1012715
2,712170
3,711429
4,714416
5,710460
6,712990
7,712792
Requests per thread executed:
thread,num_requests
0,697722
1,746762
2,704165
3,667643
4,1024070
5,698413
6,813533
7,647692
Checkpoint turns:
