time,requests
0,696764
1,697735
2,746963
3,757002
4,759961
5,739864
6,692558
7,698053
8,699528
9,699070
10,698531
11,698953
12,698935
13,700485
14,698625
15,737144
16,759759
17,739084
18,655880
19,475912
20,286498
21,138561
22,78909
23,99509
24,117791
25,119165
26,108761
27,0
28,0
29,0
30,0
31,705482
32,749011
33,778610
34,782175
35,757177
36,785017
37,789145
38,795441
39,784386
40,774305
41,769029
42,748998
43,779372
44,723642
45,511938
46,422020
47,420420
48,447151
49,597202
50,585594
51,490938
52,248794
53,211955
54,118936
55,118302
56,104960
57,0
58,0
59,0
60,52847
61,778797
62,775114
63,774731
64,739646
65,759968
66,766414
67,732674
68,697690
69,771656
70,787965
71,786364
72,788562
73,791941
74,787586
75,783393
76,689362
77,632084
78,530986
79,530118
80,352482
81,340663
82,282652
83,66305
84,0
85,0
86,0
87,259709
88,784267
89,783727
90,784955
91,786572
92,775886
93,771545
94,784095
95,742344
96,758348
97,783328
98,793251
99,770743
100,689019
101,638406
102,530785
103,549168
104,561984
105,464232
106,492108
107,484658
108,406079
109,170047
110,122100
111,114397
112,121703
113,76544
114,0
115,0
116,0
117,250295
118,786952
119,779193
120,782081
121,786041
122,774545
123,744768
124,786543
125,790400
126,758080
127,788692
128,758827
129,789230
130,761963
131,791161
132,672646
133,645336
134,640122
135,574166
136,569132
137,438814
138,85824
139,91602
140,114607
141,38980
142,0
143,0
144,0
145,440683
146,794256
147,739998
148,783046
149,757351
150,756143
151,759187
152,787042
153,781471
154,763623
155,789723
156,780476
157,789168
158,785055
159,784961
160,726413
161,675019
162,599558
163,395070
164,314637
165,179753
166,210726
167,240493
168,166022
169,121302
170,78824
171,0
172,0
173,0
174,241380
175,781131
176,747777
177,779975
178,723679
179,487243
180,200940
181,37875
Makespan
182012356773
Repartition at: 
Checkpoint times raw:
1,0,1670636637640398649,1670636643176898320,5536499671,40000040,0,1000001
2,0,1670636663684579169,1670636667816662870,4132083701,40000040,0,1000001
3,0,1670636698758238699,1670636703723822040,4965583341,40000040,0,1000001
4,0,1670636720394501388,1670636726024038833,5629537445,40000040,0,1000001
5,0,1670636756772871273,1670636760986818493,4213947220,40000040,0,1000001
6,0,1670636781992432086,1670636786760740122,4768308036,40000040,0,1000001
1,1,1670636638213219391,1670636642814420523,4601201132,40000000,0,1000000
2,1,1670636671086239630,1670636675199622689,4113383059,40000000,0,1000000
3,1,1670636699244554295,1670636703379580892,4135026597,40000000,0,1000000
4,1,1670636728447765098,1670636732521768578,4074003480,40000000,0,1000000
5,1,1670636753641036085,1670636758501853561,4860817476,40000000,0,1000000
6,1,1670636780840310091,1670636785435591799,4595281708,40000000,0,1000000
1,2,1670636645900170769,1670636649927522521,4027351752,40000000,0,1000000
2,2,1670636670697551860,1670636674730201860,4032650000,40000000,0,1000000
3,2,1670636701708882282,1670636705765831351,4056949069,40000000,0,1000000
4,2,1670636727476662344,1670636731573086779,4096424435,40000000,0,1000000
5,2,1670636757025049121,1670636761587807495,4562758374,40000000,0,1000000
6,2,1670636789620279629,1670636793582182840,3961903211,40000000,0,1000000
1,3,1670636639688780341,1670636644088020256,4399239915,40000000,0,1000000
2,3,1670636675819334637,1670636679820009154,4000674517,40000000,0,1000000
3,3,1670636702547315992,1670636706557446888,4010130896,40000000,0,1000000
4,3,1670636732602314772,1670636736567893171,3965578399,40000000,0,1000000
5,3,1670636756168262734,1670636760454325645,4286062911,40000000,0,1000000
6,3,1670636787402470554,1670636791442607847,4040137293,40000000,0,1000000
1,4,1670636637338215472,1670636642326577940,4988362468,40000000,0,1000000
2,4,1670636664223223499,1670636668724622510,4501399011,40000000,0,1000000
3,4,1670636696701232492,1670636701619635629,4918403137,40000000,0,1000000
4,4,1670636720915884465,1670636725265880677,4349996212,40000000,0,1000000
5,4,1670636755066057385,1670636759601796260,4535738875,40000000,0,1000000
6,4,1670636779889804093,1670636785626213297,5736409204,40000000,0,1000000
1,5,1670636638628723000,1670636643704162348,5075439348,40000000,0,1000000
2,5,1670636672728432212,1670636676761870543,4033438331,40000000,0,1000000
3,5,1670636701772737436,1670636705780527785,4007790349,40000000,0,1000000
4,5,1670636723734763631,1670636727825789396,4091025765,40000000,0,1000000
5,5,1670636760315191046,1670636764326297486,4011106440,40000000,0,1000000
6,5,1670636781754958438,1670636786306482662,4551524224,40000000,0,1000000
1,6,1670636640635793865,1670636645229634645,4593840780,40000000,0,1000000
2,6,1670636664529596703,1670636669026473773,4496877070,40000000,0,1000000
3,6,1670636695450798126,1670636699664153318,4213355192,40000000,0,1000000
4,6,1670636726290611726,1670636730351616876,4061005150,40000000,0,1000000
5,6,1670636751075460772,1670636755211102788,4135642016,40000000,0,1000000
6,6,1670636783475862146,1670636787725734922,4249872776,40000000,0,1000000
1,7,1670636639468046421,1670636644557081151,5089034730,40000000,0,1000000
2,7,1670636670347885475,1670636674356146222,4008260747,40000000,0,1000000
3,7,1670636699041980093,1670636703415010622,4373030529,40000000,0,1000000
4,7,1670636727868775947,1670636731944234473,4075458526,40000000,0,1000000
5,7,1670636756886401214,1670636761034658429,4148257215,40000000,0,1000000
6,7,1670636783741629112,1670636788369465826,4627836714,40000000,0,1000000
Checkpoint times:
partition,avg-elapsed-time
7,4386979743
6,4291765497
5,4295054076
4,4838384817
