time,requests
0,37349
1,36819
2,38187
3,34300
4,39066
5,35433
6,39791
7,35965
8,39080
9,34815
10,38664
11,35746
12,38347
13,39204
14,36187
15,42404
16,41571
17,38002
18,41913
19,41109
20,40871
21,35177
22,0
23,47813
24,87041
25,85392
26,85205
27,85975
28,85809
29,84630
30,84146
31,84395
32,83908
33,25686
34,0
35,78109
36,96058
37,96847
38,92916
39,93529
40,93137
41,92386
42,94013
43,92958
44,10047
45,25076
46,105646
47,101812
48,101333
49,103874
50,102511
51,101913
52,97103
53,100732
54,0
55,40776
56,110048
57,109482
58,109973
59,107652
60,108153
61,107111
62,106459
63,40346
64,0
65,122407
66,130944
67,151390
68,108089
69,103115
70,102188
71,99503
72,22364
73,0
74,121408
75,118600
76,118846
77,117216
78,116535
79,116788
80,115775
81,14832
82,26207
83,93793
Makespan
84005623622
Repartition at: 911637874 2541281448 4425342458 6402033298 8473243883 10698719086 13003896316 
Checkpoint times raw:
1,0,1670637835632847958,1670637836779389678,1146541720,11600040,0,290001
2,0,1670637847096918421,1670637848485347861,1388429440,14178760,0,354469
3,0,1670637857844035507,1670637858160383980,316348473,2260840,0,56521
4,0,1670637867716200090,1670637867824491365,108291275,799400,0,19985
5,0,1670637877151305960,1670637878733962290,1582656330,16883600,0,422090
6,0,1670637881859634417,1670637881863121197,3486780,20120,0,503
7,0,1670637894875918747,1670637895143601394,267682647,1936080,0,48402
1,1,1670637835639808216,1670637837170113444,1530305228,11600000,0,290000
2,1,1670637847095805500,1670637848906113402,1810307902,14991920,0,374798
3,1,1670637857864332464,1670637858510365935,646033471,4587520,0,114688
4,1,1670637867733207959,1670637868211081947,477873988,3995040,0,99876
5,1,1670637877153469972,1670637878681566650,1528096678,15607960,0,390199
6,1,1670637885971601085,1670637886494442563,522841478,3726720,0,93168
7,1,1670637894895810481,1670637896122291122,1226480641,12991160,0,324779
1,2,1670637835638670397,1670637836779315511,1140645114,11600000,0,290000
2,2,1670637847047125494,1670637847389204444,342078950,2672560,0,66814
3,2,1670637857876983999,1670637859032355211,1155371212,11984880,0,299622
4,2,1670637867754795029,1670637868916766306,1161971277,11621640,0,290541
5,2,1670637877128699895,1670637877476524842,347824947,2500280,0,62507
6,2,1670637885999854654,1670637887447129105,1447274451,15374760,0,384369
7,2,1670637894882763057,1670637895598100609,715337552,4855320,0,121383
1,3,1670637835635450959,1670637837143551725,1508100766,11600000,0,290000
2,3,1670637847065286030,1670637848444563375,1379277345,9222600,0,230565
3,3,1670637857906302968,1670637859402544731,1496241763,14596280,0,364907
4,3,1670637867757036064,1670637869343805229,1586769165,15145280,0,378632
5,3,1670637877128058550,1670637877323970206,195911656,1962640,0,49066
6,3,1670637885997444952,1670637887731835082,1734390130,17597160,0,439929
7,3,1670637894906749690,1670637896556183786,1649434096,17619320,0,440483
1,4,1670637835641016227,1670637836823069315,1182053088,11600000,0,290000
2,4,1670637847083988944,1670637848498468939,1414479995,14038480,0,350962
3,4,1670637857902003154,1670637859281462638,1379459484,14418920,0,360473
4,4,1670637867756842076,1670637869254949331,1498107255,15118680,0,377967
5,4,1670637877154279933,1670637878616649447,1462369514,14942560,0,373564
6,4,1670637885987995193,1670637886952402561,964407368,9695720,0,242393
7,4,1670637894895047540,1670637896265733683,1370686143,12125480,0,303137
1,5,1670637835638998784,1670637837170822624,1531823840,11600000,0,290000
2,5,1670637847076876591,1670637848274869208,1197992617,11215640,0,280391
3,5,1670637857911702883,1670637859472595235,1560892352,14244400,0,356110
4,5,1670637867759668908,1670637869346636252,1586967344,15598920,0,389973
5,5,1670637877151001027,1670637878293343032,1142342005,11265880,0,281647
6,5,1670637885996041331,1670637887510948533,1514907202,16094360,0,402359
7,5,1670637894906393972,1670637896506257011,1599863039,16973240,0,424331
1,6,1670637835638153513,1670637837166322297,1528168784,11600000,0,290000
2,6,1670637847086961746,1670637848459201081,1372239335,13111440,0,327786
3,6,1670637857905571658,1670637859431384441,1525812783,15804920,0,395123
4,6,1670637867752391106,1670637869308376295,1555985189,14383720,0,359593
5,6,1670637877149542486,1670637878526891823,1377349337,14096800,0,352420
6,6,1670637885990422200,1670637887619503801,1629081601,15545440,0,388636
7,6,1670637894893814590,1670637895886894331,993079741,9676880,0,241922
1,7,1670637835639433609,1670637836820391214,1180957605,11600000,0,290000
2,7,1670637847088526357,1670637848395139868,1306613511,13368640,0,334216
3,7,1670637857902036249,1670637859334634078,1432597829,14902280,0,372557
4,7,1670637867753157376,1670637869344301158,1591143782,16137360,0,403434
5,7,1670637877154763020,1670637878736492681,1581729661,15540320,0,388508
6,7,1670637885992437590,1670637887423328575,1430890985,14745760,0,368644
7,7,1670637894896690537,1670637896450172781,1553482244,16622560,0,415564
Checkpoint times:
partition,avg-elapsed-time
7,1439630802
6,1425959538
5,1447826914
4,1324508978
3,1364303560
2,901500500
1,1105991340
0,687633809

Checkpoint sizes:
partition,avg-size
7,1442005453
6,1427341950
5,1450251662
4,1326241189
3,1366820605
2,902194117
1,1107847220
0,687910392

Crossborder requests executed:
num_partitions,num_requests
1,4341557
2,691875
3,378577
4,177488
5,110849
6,100329
7,99548
Requests per thread executed:
thread,num_requests
0,767967
1,772627
2,800120
3,754075
4,773085
5,712970
6,724311
7,694845
Checkpoint turns:
