thread,0-ckp,1-ckp,8-ckp,8-ckp-metis
0,13745995,13745995,13745995,17402876
1,13752077,13752077,13752077,14387857
2,13749251,13749251,13749251,14460414
3,13753438,13753438,13753438,12607001
4,13748552,13748552,13748552,14475143
5,13757208,13757208,13757208,12642484
6,13752244,13752244,13752244,12622864
7,13741235,13741235,13741235,11401361
