partition,1-ckp,8-ckp,8-ckp-metis
0,37851290692,5388442761,5476260688
1,0,5052802975,5357408535
2,0,4976334318,5508866142
3,0,5552350507,5451470690
4,0,5214473870,5534302598
5,0,5241362182,5999629907
6,0,5345961933,6069932837
7,0,5532488737,5244064402
